"hts_pns_index_client_partner","first_name","character varying",12,NULL
"hts_pns_index_client_partner","hiv_test_result","character varying",18,NULL
"hts_pns_index_client_partner","hts_client_information","jsonb",8,NULL
"hts_pns_index_client_partner","hts_client_uuid","character varying",15,NULL
"hts_pns_index_client_partner","id","bigint",1,NULL
"hts_pns_index_client_partner","index_client_id","character varying",19,NULL
"hts_pns_index_client_partner","intermediate_partner_violence","jsonb",4,NULL
"hts_pns_index_client_partner","is_htsclient","boolean",34,NULL
"hts_pns_index_client_partner","known_hiv_positive","character varying",17,NULL
"hts_pns_index_client_partner","last_name","character varying",33,NULL
"hts_pns_index_client_partner","middle_name","character varying",13,NULL
"hts_pns_index_client_partner","modified_by","character varying",26,NULL
"hts_pns_index_client_partner","notification_method","character varying",14,NULL
"hts_pns_index_client_partner","ods_datim_id","character varying",36,NULL
"hts_pns_index_client_partner","ods_load_time","timestamp without time zone",35,NULL
"hts_pns_index_client_partner","offered_pns","character varying",21,NULL
"hts_pns_index_client_partner","other_reason_for_decline","character varying",23,NULL
"hts_pns_index_client_partner","partner_id","character varying",28,NULL
"hts_pns_index_client_partner","phone_number","character varying",31,NULL
"hts_pns_index_client_partner","reason_for_decline","character varying",22,NULL
"hts_pns_index_client_partner","relationship_with_index_client","character varying",16,NULL
"hts_pns_index_client_partner","sex","character varying",29,NULL
"hts_pns_index_client_partner","uuid","character varying",27,NULL
