<connection object at 0x7f60291a3240; dsn: 'user=lamisplus_etl password=xxx dbname=lamisplus_ods_dwh host=localhost port=5432', closed: 0>
[2025-05-18 04:46:04,256: INFO: familypartnerindex: Batch of 25 procedures executed successfully for datim_ids: ['w4gxim2NiVj', 'eJDSKTK7sO8', 'sBzJ4tnvCMD', 'RWQP4pGxyYS', 'RRPYgMWYw4h', 'apo2hT9i94X', 'KGNkYub5Oxq', 'dlzwTad81iz', 'qaVq74gMDhs', 'YFOBz4PMuNV', 'DVlcYRf680L', 'KTsdxBrj1K8', 'C8zbhPQNbPk', 'kwnTWvSacEg', 'sP8QEwb0SXo', 'IvofjQjgSeE', 'wC0drfSNmV4', 'zZXDNWVezMV', 'wRBooaCoKz6', 'RFVNndb3OKN', 'JqquBCRr5Ie', 'wSzsuzrAmU1', 'M0b885TVP1Q', 'iWJPpf18IyU', 'S5HvxHdK2Vt']]
[2025-05-18 04:46:04,522: INFO: familypartnerindex: Successfully executed proc_partner_index for DgTi7GSbUAE]
[2025-05-18 04:46:04,693: INFO: familypartnerindex: Successfully executed proc_partner_index for q1D4GdFPtqJ]
[2025-05-18 04:46:04,693: INFO: familypartnerindex: Successfully executed proc_partner_index for Uyo9Hpc3vql]
[2025-05-18 04:46:04,738: INFO: familypartnerindex: Successfully executed proc_partner_index for x7TBWFDy1GZ]
[2025-05-18 04:46:04,766: INFO: familypartnerindex: Successfully executed proc_partner_index for hozfIkuo4eE]
[2025-05-18 04:46:04,766: INFO: familypartnerindex: Successfully executed proc_partner_index for WjDvZSLT4i5]
[2025-05-18 04:46:04,766: INFO: familypartnerindex: Successfully executed proc_partner_index for bUhfkjY3yVP]
[2025-05-18 04:46:04,772: INFO: familypartnerindex: Successfully executed proc_partner_index for RoxOslFYbmA]
[2025-05-18 04:46:04,772: INFO: familypartnerindex: Successfully executed proc_family_index for DgTi7GSbUAE]
[2025-05-18 04:46:04,829: INFO: familypartnerindex: Successfully executed proc_partner_index for Pjak5oARJBf]
[2025-05-18 04:46:04,830: INFO: familypartnerindex: Successfully executed proc_partner_index for qY7ZkVcos1O]
[2025-05-18 04:46:04,837: INFO: familypartnerindex: Successfully executed proc_partner_index for R2bNqBqJUIw]
[2025-05-18 04:46:04,838: INFO: familypartnerindex: Successfully executed proc_partner_index for GHUokYisiZe]
[2025-05-18 04:46:04,850: INFO: familypartnerindex: Successfully executed proc_partner_index for zxSXLppge0P]
[2025-05-18 04:46:04,873: INFO: familypartnerindex: Successfully executed proc_partner_index for gF8UahvIXw9]
[2025-05-18 04:46:04,873: INFO: familypartnerindex: Successfully executed proc_partner_index for rmGHrOrVW9r]
[2025-05-18 04:46:04,874: INFO: familypartnerindex: Successfully executed proc_partner_index for SSB1jXm3jdi]
[2025-05-18 04:46:04,874: INFO: familypartnerindex: Successfully executed proc_partner_index for DPA6BxE9pzQ]
[2025-05-18 04:46:04,874: INFO: familypartnerindex: Successfully executed proc_partner_index for W387n0fbylW]
[2025-05-18 04:46:04,874: INFO: familypartnerindex: Successfully executed proc_partner_index for JPBcTpp6XUu]
[2025-05-18 04:46:04,881: INFO: familypartnerindex: Successfully executed proc_partner_index for B0V6x5le9Tj]
[2025-05-18 04:46:04,882: INFO: familypartnerindex: Successfully executed proc_family_index for RoxOslFYbmA]
[2025-05-18 04:46:04,883: INFO: familypartnerindex: Successfully executed proc_partner_index for wr9dSNAmnWp]
[2025-05-18 04:46:04,905: INFO: familypartnerindex: Successfully executed proc_partner_index for VZCEov8JZIe]
[2025-05-18 04:46:04,924: INFO: familypartnerindex: Successfully executed proc_partner_index for KrHj7Ycvctj]
[2025-05-18 04:46:04,946: INFO: familypartnerindex: Successfully executed proc_partner_index for l01zG9ePfqt]
[2025-05-18 04:46:04,962: INFO: familypartnerindex: Successfully executed proc_family_index for WjDvZSLT4i5]
[2025-05-18 04:46:04,966: INFO: familypartnerindex: Successfully executed proc_family_index for JPBcTpp6XUu]
[2025-05-18 04:46:04,978: INFO: familypartnerindex: Successfully executed proc_family_index for q1D4GdFPtqJ]
[2025-05-18 04:46:05,021: INFO: familypartnerindex: Successfully executed proc_family_index for hozfIkuo4eE]
[2025-05-18 04:46:05,021: INFO: familypartnerindex: Successfully executed proc_family_index for DPA6BxE9pzQ]
[2025-05-18 04:46:05,022: INFO: familypartnerindex: Successfully executed proc_family_index for gF8UahvIXw9]
[2025-05-18 04:46:05,023: INFO: familypartnerindex: Successfully executed proc_family_index for B0V6x5le9Tj]
[2025-05-18 04:46:05,023: INFO: familypartnerindex: Successfully executed proc_family_index for wr9dSNAmnWp]
[2025-05-18 04:46:05,024: INFO: familypartnerindex: Successfully executed proc_family_index for zxSXLppge0P]
[2025-05-18 04:46:05,024: INFO: familypartnerindex: Successfully executed proc_family_index for GHUokYisiZe]
[2025-05-18 04:46:05,024: INFO: familypartnerindex: Successfully executed proc_family_index for rmGHrOrVW9r]
