table_schema,table_name,total_size
public,ods_laboratory_sample_26,19 MB
public,ods_laboratory_sample_27,104 MB
public,ods_laboratory_sample_28,46 MB
public,ods_base_organisation_unit_47,15 MB
public,ods_base_organisation_unit_48,17 MB
public,ods_base_organisation_unit_49,14 MB
public,ods_laboratory_sample_40,30 MB
public,ods_laboratory_sample_41,15 MB
expanded_hts_prep,expanded_prep_weekly_2024w20,123 MB
public,bkp_cte_naive_vl_data,32 MB
public,bkp_ods_hiv_regimen_resolver,56 kB
public,ods_base_organisation_unit_52,18 MB
public,ods_base_organisation_unit_53,21 MB
public,ods_laboratory_sample_53,80 MB
public,ods_laboratory_sample_54,64 MB
public,ods_laboratory_result_23,76 MB
public,ods_laboratory_result_24,37 MB
public,ods_laboratory_result_41,14 MB
public,ods_laboratory_result_43,67 MB
public,ods_laboratory_test_21,199 MB
public,ods_laboratory_result_44,22 MB
public,ods_hiv_ovc_linkage,8192 bytes
public,ods_base_organisation_unit_5,14 MB
public,ods_laboratory_result_20,30 MB
public,ods_laboratory_result_21,149 MB
public,ods_laboratory_result_22,228 MB
public,bkp_ods_base_application_codeset,53 MB
public,ods_laboratory_result_31,13 MB
public,ods_laboratory_result_33,30 MB
public,bkp_ods_base_organisation_unit,88 MB
public,ods_laboratory_result_34,13 MB
public,ods_base_organisation_unit_19,18 MB
public,ods_base_organisation_unit_21,18 MB
public,ods_base_organisation_unit_22,28 MB
public,ods_acrossmodules,8192 bytes
expanded_radet,central_category_option_combo_weekly,280 kB
public,ods_base_module_artifact,8192 bytes
public,ods_base_module_authorities,8192 bytes
public,ods_triage_vital_sign_7,214 MB
public,ods_triage_vital_sign_8,465 MB
public,ods_triage_vital_sign_9,237 MB
public,ods_base_module_dependencies,8192 bytes
public,ods_base_organisation_unit_hierarchy,0 bytes
public,ods_base_organisation_unit_identifier,24 kB
public,ods_base_role,8192 bytes
public,ods_base_role_menu,0 bytes
public,ods_triage_vital_sign_10,292 MB
public,ods_base_role_permission,0 bytes
public,ods_base_standard_codeset,8192 bytes
public,ods_base_standard_codeset_source,8192 bytes
public,ods_case_manager,2680 kB
public,ods_case_manager_patients,610 MB
public,ods_biometric_pims_config,0 bytes
public,ods_base_organisation_unit_26,16 MB
public,ods_biomettric_pims_tracker,0 bytes
public,ods_covid_codeset,8192 bytes
public,ods_covid_question_response,8192 bytes
public,ods_covid_vaccination,8192 bytes
public,ods_base_organisation_unit_27,30 MB
public,ods_covid_vaccination_dose,8192 bytes
public,ods_databasechangelog,8192 bytes
public,ods_databasechangeloglock,8192 bytes
public,ods_biometric,50 GB
public,ods_base_organisation_unit_28,16 MB
public,ods_etl_hiv_enrollment_stage,8192 bytes
public,ods_base_organisation_unit_32,10 MB
public,ods_base_organisation_unit_33,11 MB
public,ods_etl_hiv_observation,8192 bytes
public,ods_etl_patient_stage,8192 bytes
public,ods_etl_patient_visit_date_nulls,8192 bytes
public,ods_base_organisation_unit_34,13 MB
public,ods_base_organisation_unit_35,21 MB
public,ods_base_organisation_unit_36,14 MB
public,ods_base_organisation_unit_37,19 MB
public,ods_base_organisation_unit_38,17 MB
public,ods_etl_triage_vital_sign_stage,8192 bytes
public,temp_ods_case_manager_patients,64 kB
public,ods_hiv_regimen,43 MB
public,ods_hiv_patient_tracker,8192 bytes
public,ods_base_organisation_unit_41,6168 kB
public,ods_base_organisation_unit_42,18 MB
public,ods_base_organisation_unit_43,16 MB
public,ods_base_organisation_unit_50,16 MB
public,ods_base_organisation_unit_51,27 MB
public,ods_laboratory_order,1673 MB
public,ods_base_organisation_unit_54,23 MB
public,ods_base_organisation_unit_55,18 MB
public,ods_base_organisation_unit_56,12 MB
public,ods_base_organisation_unit_57,21 MB
public,ods_laboratory_result_4,114 MB
public,ods_lims_pcr_lab,8192 bytes
public,ods_lims_result,8192 bytes
public,ods_laboratory_result_9,76 MB
public,ods_triage_vital_sign_47,45 MB
public,ods_laboratory_result_14,34 MB
public,ods_patient_encounter,3172 MB
public,ods_lims_sample,8192 bytes
public,ods_monitoring,0 bytes
public,ods_ndr_messages,8192 bytes
public,ods_ndr_pusher,8192 bytes
public,ods_laboratory_result_16,61 MB
public,ods_laboratory_result_17,191 MB
public,ods_laboratory_result_18,69 MB
public,ods_ndr_pusher_config,8192 bytes
public,ods_ndr_xml_status,8192 bytes
public,ods_ndrdata,8192 bytes
public,ods_laboratory_result_19,62 MB
public,ods_triage_vital_sign_53,275 MB
public,ods_laboratory_result_25,170 MB
expanded_hts_prep,expanded_hts_weekly_2024w21,1350 MB
public,ods_remote_access_token,8192 bytes
public,ods_laboratory_result_28,46 MB
public,ods_laboratory_result_38,20 MB
public,ods_laboratory_result_45,45 MB
public,ods_base_application_codeset_standard_codeset,0 bytes
public,ods_sync_history,8192 bytes
public,ods_sync_history_tracker,0 bytes
public,ods_base_application_user,8192 bytes
public,ods_base_application_user_organisation_unit,8192 bytes
public,ods_base_authority,8192 bytes
public,ods_base_form,8192 bytes
public,ods_base_menu,8192 bytes
public,ods_base_menu_authorities,8192 bytes
public,ods_base_organisation_unit_level,8192 bytes
public,ods_base_permission,8192 bytes
public,ods_base_program,8192 bytes
expanded_hts_prep,expanded_prep_weekly_2024w21,123 MB
public,ods_hiv_art_clinical_28,315 MB
public,ods_hiv_enrollment_3,70 MB
public,ods_hiv_enrollment_4,43 MB
public,ods_base_web_module,8192 bytes
public,ods_base_web_module_authorities,8192 bytes
public,ods_biometric_device,8192 bytes
public,ods_covid_patient,8192 bytes
public,ods_hiv_status_tracker_1,724 MB
public,ods_hiv_art_clinical_34,154 MB
public,ods_hiv_art_clinical_40,111 MB
public,ods_hiv_status_tracker_4,155 MB
public,ods_covid_question,8192 bytes
public,ods_deduplication,0 bytes
public,ods_etl_patient_visit_stage,8192 bytes
public,ods_etl_patient_visit_stage_duplicate,8192 bytes
public,ods_patient_person_1,51 MB
public,ods_patient_person_2,121 MB
public,ods_hiv_drug,8192 bytes
public,ods_hiv_eac,127 MB
public,ods_hiv_eac_out_come,8192 bytes
public,ods_hiv_eac_session,128 MB
public,ods_hiv_regimen_drug,0 bytes
public,ods_base_application_codeset_44,6904 kB
public,ods_hiv_regimen_resolver,16 MB
public,ods_patient_person_24,34 MB
public,ods_patient_person_25,183 MB
public,ods_hiv_regimen_type,2792 kB
public,ods_laboratory_labtest,14 MB
public,ods_laboratory_labtestgroup,8192 bytes
public,ods_laboratory_number,8192 bytes
public,bkp_final_radet,68 MB
public,ods_hiv_status_tracker_8,505 MB
public,ods_hts_index_elicitation,35 MB
public,ods_hts_risk_stratification,2755 MB
public,ods_laboratory_sample_type,8192 bytes
public,ods_laboratory_sampletype_labtest_link,8192 bytes
public,ods_hiv_enrollment_15,72 MB
public,ods_hiv_enrollment_12,104 MB
public,ods_lims_config,8192 bytes
public,central_radet_tracker,312 kB
public,ods_hiv_status_tracker_12,992 MB
public,ods_lims_manifest,8192 bytes
public,ods_ndr_code_set,8192 bytes
public,ods_ndr_facility,8192 bytes
public,ods_ndr_message_log,8192 bytes
public,central_category_option_combo_backup,216 kB
public,ods_base_application_codeset_14,12 MB
public,ods_prep_enrollment,514 MB
public,ods_sync_queue,8192 bytes
public,ods_triage_post_service,8192 bytes
public,ods_triage_vital_sign_duplicates,8192 bytes
public,ods_hiv_enrollment_1,105 MB
public,ods_hiv_enrollment_2,121 MB
public,ods_patient_person_4,104 MB
public,ods_patient_person_5,85 MB
public,ods_patient_person_6,107 MB
public,ods_hiv_status_tracker_3,458 MB
public,ods_hiv_art_pharmacy_regimens_19,193 MB
public,ods_hiv_art_pharmacy_regimens_20,140 MB
public,ods_hiv_art_pharmacy_regimens_21,190 MB
public,ods_base_application_codeset_45,17 MB
public,ods_base_application_codeset_46,21 MB
public,ods_base_application_codeset_47,14 MB
public,ods_hiv_enrollment_13,71 MB
public,ods_hiv_art_pharmacy_2,595 MB
public,cte_monitoring,176 kB
public,ods_hiv_art_pharmacy_regimens_22,253 MB
public,ods_hiv_art_pharmacy_12,840 MB
public,ods_laboratory_result_39,169 MB
public,ods_base_organisation_unit,0 bytes
public,ods_laboratory_result,0 bytes
public,ods_hiv_art_pharmacy_regimens,0 bytes
public,ods_laboratory_sample,0 bytes
public,ods_patient_person_14,58 MB
public,ods_hiv_status_tracker,0 bytes
public,ods_hiv_art_pharmacy,0 bytes
public,ods_hiv_enrollment,0 bytes
public,ods_base_application_codeset,0 bytes
expanded_hts_prep,expanded_hts_weekly_2024w23,1423 MB
public,ods_hiv_art_clinical,0 bytes
expanded_radet,expanded_radet_weekly_2024w22,719 MB
expanded_hts_prep,expanded_prep_weekly_2024w23,126 MB
public,hiv_art_clinical,164 MB
public,ods_triage_vital_sign,0 bytes
expanded_radet,partner_attribute_combo,8192 bytes
expanded_radet,expanded_radet_weekly_2024w20,687 MB
public,partner_attribute_combo,48 kB
expanded_radet,expanded_radet_weekly,0 bytes
expanded_radet,partner_attribute_combo_weekly,48 kB
expanded_hts_prep,cte_prep_eli_test,11 MB
expanded_hts_prep,cte_prep_e_target,12 MB
public,first_biometric_combined,1341 MB
public,hiv_status_tracker,209 MB
public,triage_vital_sign,175 MB
public,biometric_report_with_desired_columns,3549 MB
expanded_hts_prep,cte_prep_base_eli_test,11 MB
expanded_hts_prep,cte_prep_penrol,275 MB
expanded_hts_prep,cte_prep_prepi,240 kB
expanded_hts_prep,cte_prep_baseline_bp,15 MB
expanded_hts_prep,expanded_hts_weekly_2024w25,1464 MB
expanded_hts_prep,cte_prep_baseline_urinalysis,20 MB
expanded_hts_prep,cte_prep_current_wbc,16 kB
expanded_hts_prep,cte_prep_current_alt,16 kB
public,temp_ods_prep_interruption,16 kB
expanded_hts_prep,cte_prep_current_hbpcv,16 kB
expanded_hts_prep,cte_prep_baseline_creatinine,4280 kB
public,temp_ods_case_manager,16 kB
expanded_hts_prep,cte_prep_prepc,29 MB
expanded_hts_prep,cte_prep_baseline_hbpcv,16 kB
public,bkpp_cte_cervical_cancer,16 MB
expanded_hts_prep,cte_prep_baseline_pc,96 MB
expanded_hts_prep,expanded_prep_weekly_2024w25,126 MB
expanded_hts_prep,cte_prep_current_pc,124 MB
expanded_hts_prep,cte_prep_bio,429 MB
expanded_hts_prep,cte_prep_baseline_alt,16 kB
expanded_hts_prep,cte_prep_baseline_wbc,16 kB
expanded_hts_prep,cte_prep_baseline_hbsag,16 kB
expanded_hts_prep,cte_prep_current_hbsag,16 kB
public,ods_hiv_observation,12 GB
public,temp_ods_hiv_art_clinical,1024 kB
public,temp_ods_hiv_art_pharmacy,1880 kB
hts_prep_datamart,hts_prep_monitoring,56 kB
public,centralpm110424,120 kB
public,temp_ods_hiv_eac_session,16 kB
public,temp_ods_hiv_eac,16 kB
mobile,cte_ods_hiv_regimen,96 kB
public,refined_final_radet,665 MB
pmtct_hts,central_data_element_pmtct,24 kB
expanded_radet,cte_cryptococal_antigen,848 kB
expanded_radet,cte_tbstatus,103 MB
public,temp_ods_triage_vital_sign,784 kB
public,temp_ods_biometric,4256 kB
public,temp_ods_hiv_art_pharmacy_regimens,256 kB
expanded_radet,cte_ipt,116 MB
expanded_radet,cte_ovc,113 MB
expanded_radet,sub_cte_ipt_c_cs,5496 kB
public,temp_ods_prep_enrollment,
expanded_radet,cte_case_manager,90 MB
expanded_radet,cte_dsd1,60 MB
expanded_radet,cte_dsd2,61 MB
expanded_radet,expanded_radet_monitoring,72 kB
maternal_cohort,cte_monitoring,8192 bytes
pmtct_hts,cte_monitoring,8192 bytes
public,temp_ods_hiv_regimen_type,16 kB
public,temp_ods_base_application_codeset,424 kB
public,temp_ods_hiv_regimen_resolver,16 kB
public,temp_ods_laboratory_order,144 kB
public,temp_ods_laboratory_labtest,16 kB
public,final_radet,0 bytes
maternal_cohort,deduplication,64 kB
public,temp_ods_prep_clinic,16 kB
public,aggregate_flatfile_copy230724,25 MB
public,ods_pmtct_infant_rapid_antibody,32 kB
public,temp_ods_pmtct_infant_visit,16 kB
maternal_cohort,result,2136 kB
public,temp_ods_pmtct_infant_mother_art,16 kB
public,temp_ods_hiv_regimen,64 kB
pmtct_hts,period,16 kB
public,bkp_cte_bio_data,32 MB
public,aggregate_flatfile,96 MB
public,temp_ods_hts_risk_stratification,128 kB
public,temp_ods_dsd_devolvement,264 kB
public,temp_ods_pmtct_infant_information,16 kB
public,temp_ods_hts_index_elicitation,48 kB
public,ods_prep_regimen,48 kB
public,temp_ods_laboratory_result,48 kB
public,temp_ods_pmtct_anc,56 kB
public,temp_ods_pmtct_delivery,16 kB
public,temp_ods_pmtct_enrollment,16 kB
public,central_data_element_090423_backup,40 kB
public,central_data_element,56 kB
public,central_category_option_combo,320 kB
hts_prep_datamart,final_prepquery_datamart,0 bytes
hts_prep_datamart,final_htsquery_datamart,0 bytes
public,temp_ods_base_organisation_unit,648 kB
public,temp_ods_hiv_status_tracker,48 kB
public,temp_ods_laboratory_sample,64 kB
public,final_radet_old,0 bytes
public,temp_ods_patient_encounter,176 kB
public,temp_ods_hiv_enrollment,912 kB
public,temp_ods_patient_person,1632 kB
public,temp_ods_laboratory_test,64 kB
public,temp_ods_hts_client,216 kB
public,temp_ods_patient_visit,640 kB
public,temp_ods_pmtct_infant_pcr,16 kB
public,temp_ods_pmtct_infant_arv,16 kB
public,temp_ods_hiv_observation,1728 kB
