table_schema,table_name,total_size
public,ods_hiv_art_clinical_8,828 MB
public,ods_hiv_art_clinical_9,366 MB
public,ods_hiv_art_clinical_11,324 MB
expanded_hts_prep,expanded_prep_joined,106 MB
expanded_hts_prep,expanded_hts_weekly_2024w19,1345 MB
public,ods_hiv_art_clinical_12,297 MB
public,ods_hiv_art_clinical_15,153 MB
public,ods_hiv_art_clinical_16,377 MB
public,ods_hiv_art_pharmacy_27,713 MB
public,ods_hiv_art_pharmacy_28,824 MB
public,ods_hiv_art_pharmacy_29,223 MB
public,ods_hiv_art_clinical_17,404 MB
public,ods_hiv_art_clinical_18,424 MB
public,ods_hiv_art_clinical_19,493 MB
public,ods_hiv_art_clinical_20,223 MB
expanded_hts_prep,expanded_prep_weekly_2024w19,122 MB
public,ods_hiv_art_clinical_21,721 MB
public,ods_hiv_art_clinical_22,743 MB
public,ods_hiv_art_clinical_23,442 MB
public,ods_hiv_art_clinical_24,156 MB
public,ods_hiv_art_pharmacy_regimens_6,73 MB
public,ods_hiv_art_clinical_25,449 MB
public,ods_hiv_art_clinical_26,143 MB
public,ods_hiv_art_clinical_27,482 MB
public,ods_hiv_art_clinical_29,247 MB
public,ods_hiv_art_pharmacy_regimens_7,154 MB
public,ods_hiv_art_clinical_30,536 MB
public,ods_hiv_art_clinical_33,113 MB
public,ods_hiv_art_clinical_39,263 MB
public,ods_hiv_art_clinical_43,283 MB
public,ods_hiv_art_clinical_44,94 MB
public,ods_hiv_art_pharmacy_30,510 MB
public,ods_hiv_art_pharmacy_regimens_8,234 MB
public,ods_hiv_art_pharmacy_regimens_9,83 MB
public,ods_hiv_art_clinical_45,323 MB
public,ods_hiv_art_clinical_46,410 MB
public,ods_hiv_art_clinical_47,79 MB
public,ods_hiv_art_clinical_48,570 MB
public,ods_hiv_art_pharmacy_32,574 MB
public,ods_hiv_art_pharmacy_31,133 MB
public,ods_hiv_art_pharmacy_33,610 MB
expanded_hts_prep,expanded_hts_weekly_2024w24,1435 MB
public,ods_hiv_art_clinical_49,194 MB
public,ods_hiv_art_clinical_50,204 MB
expanded_radet,cte_biometric,134 MB
public,ods_hiv_art_pharmacy_regimens_10,146 MB
public,ods_hiv_art_clinical_51,296 MB
public,ods_hiv_art_clinical_52,446 MB
public,ods_hiv_art_pharmacy_34,266 MB
public,ods_hiv_art_pharmacy_35,647 MB
public,ods_hiv_art_clinical_53,475 MB
public,ods_hiv_art_clinical_54,421 MB
public,ods_hiv_art_pharmacy_regimens_11,187 MB
public,ods_hiv_art_pharmacy_regimens_12,76 MB
expanded_hts_prep,expanded_prep_weekly_2024w24,126 MB
public,ods_hiv_art_clinical_55,557 MB
public,ods_hiv_art_clinical_56,473 MB
public,ods_hiv_art_clinical_57,394 MB
public,ods_hiv_art_clinical_58,411 MB
public,ods_hiv_art_clinical_59,127 MB
public,ods_hiv_art_pharmacy_37,847 MB
public,ods_hiv_art_pharmacy_36,503 MB
public,ods_hiv_art_pharmacy_38,396 MB
public,ods_patient_person_3,16 MB
public,ods_patient_person_7,70 MB
public,ods_patient_person_11,152 MB
public,ods_patient_person_12,62 MB
public,ods_patient_person_13,84 MB
public,ods_hiv_art_pharmacy_39,444 MB
public,test_proc_table,40 kB
public,ods_patient_person_15,51 MB
expanded_hts_prep,period,56 kB
public,ods_hiv_art_pharmacy_regimens_16,123 MB
public,ods_patient_person_16,88 MB
public,ods_hiv_art_pharmacy_regimens_15,202 MB
public,ods_hiv_art_pharmacy_regimens_17,103 MB
public,ods_hiv_art_pharmacy_regimens_18,92 MB
expanded_hts_prep,expanded_hts_prep_monitoring,56 kB
public,ods_patient_person_17,109 MB
public,ods_patient_person_18,112 MB
public,ods_patient_person_19,83 MB
public,ods_patient_person_20,40 MB
public,ods_hiv_art_pharmacy_regimens_26,218 MB
public,ods_hiv_art_pharmacy_regimens_27,195 MB
public,ods_hiv_art_pharmacy_regimens_28,592 MB
expanded_hts_prep,expanded_hts_weekly,0 bytes
public,ods_patient_person_21,261 MB
public,ods_patient_person_26,78 MB
public,ods_patient_person_27,169 MB
public,ods_hiv_art_pharmacy_regimens_29,162 MB
public,ods_hiv_art_pharmacy_regimens_30,121 MB
public,ods_patient_person_28,106 MB
public,ods_patient_person_29,90 MB
public,ods_patient_person_31,51 MB
public,ods_hiv_art_pharmacy_regimens_32,236 MB
public,ods_hiv_art_pharmacy_regimens_33,40 MB
public,ods_patient_person_32,142 MB
public,ods_patient_person_33,23 MB
expanded_radet,expanded_radet_weekly_2024w21,717 MB
public,cte_dsd1,44 MB
public,ods_patient_person_34,36 MB
public,ods_hiv_art_pharmacy_regimens_37,252 MB
public,ods_hiv_art_pharmacy_regimens_38,108 MB
public,ods_triage_vital_sign_42,191 MB
public,ods_hiv_art_pharmacy_regimens_39,155 MB
public,ods_hiv_art_pharmacy_regimens_40,117 MB
public,ods_hiv_art_pharmacy_regimens_41,183 MB
public,ods_hiv_art_pharmacy_regimens_42,356 MB
public,ods_base_module,8192 bytes
public,ods_covid_question_answer,8192 bytes
public,ods_hiv_art_pharmacy_regimens_43,181 MB
public,ods_hiv_art_pharmacy_regimens_44,49 MB
public,ods_hiv_art_pharmacy_regimens_45,119 MB
public,ods_hiv_art_pharmacy_regimens_46,146 MB
public,ods_patient_person_36,130 MB
public,ods_patient_person_37,126 MB
public,ods_patient_person_38,61 MB
public,ods_patient_person_39,115 MB
public,ods_patient_person_42,105 MB
public,ods_patient_person_43,80 MB
public,ods_patient_person_44,16 MB
public,ods_patient_person_45,71 MB
public,ods_pmtct_delivery,272 kB
public,ods_pmtct_enrollment,992 kB
public,ods_pmtct_infant_arv,7648 kB
public,ods_pmtct_infant_information,144 kB
public,ods_pmtct_anc,33 MB
public,ods_pmtct_infant_mother_art,32 kB
public,ods_pmtct_infant_pcr,7992 kB
public,ods_patient_person_48,80 MB
public,ods_patient_person_49,54 MB
public,central_partner_mapping,160 kB
public,ods_etl_hiv_art_clinical_stage,8192 bytes
public,ods_prep_clinic,563 MB
public,ods_prep_eligibility,608 MB
expanded_radet,cte_current_regimen,8192 bytes
public,ods_patient_person_50,67 MB
public,ods_patient_person_51,136 MB
public,ods_patient_person_52,76 MB
public,ods_pmtct_infant_visit,64 kB
public,ods_mhpss_screening,16 kB
public,ods_hts_client,9398 MB
public,ods_pmtct_mother_visitation,200 kB
public,ods_patient_person_54,163 MB
public,ods_patient_person_55,143 MB
public,ods_etl_sequence,8192 bytes
public,report,64 kB
public,ods_patient_person_56,89 MB
public,ods_patient_person_57,129 MB
expanded_radet,cte_monitoring,0 bytes
public,ods_patient_person_22,180 MB
public,ods_patient_person_23,185 MB
public,ods_patient_person_59,65 MB
public,ods_patient_person_60,88 MB
public,ods_laboratory_sample_1,11 MB
expanded_radet,ods_hiv_status_tracker,8192 bytes
public,ods_laboratory_sample_3,4144 kB
public,ods_laboratory_sample_4,105 MB
public,ods_laboratory_sample_2,183 MB
public,ods_laboratory_sample_5,29 MB
public,temp_ods_prep_eligibility,112 kB
public,ods_laboratory_sample_10,73 MB
public,ods_laboratory_sample_11,85 MB
public,ods_laboratory_sample_8,130 MB
public,ods_laboratory_sample_9,80 MB
maternal_cohort,confirm,16 kB
public,ods_laboratory_sample_12,33 MB
public,ods_laboratory_sample_13,53 MB
public,ods_laboratory_sample_14,34 MB
maternal_cohort,second,16 kB
public,ods_laboratory_sample_15,25 MB
public,ods_triage_vital_sign_3,24 MB
public,ods_triage_vital_sign_4,216 MB
public,ods_triage_vital_sign_5,83 MB
public,ods_triage_vital_sign_6,599 MB
public,ods_triage_vital_sign_12,158 MB
public,ods_triage_vital_sign_13,183 MB
maternal_cohort,first,32 kB
expanded_radet,cte_sub_date_current_clinical,193 MB
expanded_hts_prep,expanded_hts_weekly_2024w22,1368 MB
expanded_hts_prep,expanded_prep_weekly_2024w22,124 MB
maternal_cohort,pmtct_mother_visitation,40 kB
public,ods_triage_vital_sign_14,115 MB
public,ods_dsd_devolvement,895 MB
pmtct_hts,pmtct_delivery,40 kB
public,ods_triage_vital_sign_29,143 MB
public,ods_triage_vital_sign_28,167 MB
public,ods_triage_vital_sign_30,328 MB
