causeofdeath

Non-natural causes
Suspected ARV Side effect (Speciify)
Other
Unknown
Other natural causes
HIV disease resulting in other infectious and parasitic disease
Other cause of death
Tuberculosis
NULL
None
Unknown cause
"""""""HIV-related (Cancer"""
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""HIV-related (Cancer"""""""""""""""""""""""""""""""
NO
UNKNOWN
L
Other HIV disease resulting in other disease or conditions leading to death
Suspected Opportunistic Infection (specify)
HIV disease resulting in cancer
"HIV-related (Cancer,parasitic disease)"
HIV disease resulting in TB
Natural Cause
"""HIV-related (Cancer"
YES
